FRAME,KEY,STATUS
633,Key.enter,DOWN
636,Key.enter,UP
736,Key.enter,DOWN
739,Key.enter,UP
836,Key.right,DOWN
839,Key.right,UP
939,Key.right,DOWN
962,'s',DOWN
991,'s',UP
995,Key.right,UP
1004,Key.right,DOWN
1004,'s',DOWN
1031,Key.right,UP
1034,'s',UP
1045,'d',DOWN
1048,Key.right,DOWN
1056,Key.left,DOWN
1056,Key.right,UP
1056,'d',UP
1078,Key.left,UP
1082,Key.right,DOWN
1090,'d',DOWN
1101,Key.right,UP
1101,'d',UP
1110,Key.left,DOWN
1115,Key.left,UP
1120,Key.left,DOWN
1123,Key.left,UP
1129,Key.right,DOWN
1146,'s',DOWN
1149,Key.left,DOWN
1149,Key.right,UP
1154,'d',DOWN
1154,'s',UP
1163,'d',UP
1169,Key.left,UP
1173,Key.right,DOWN
1173,'d',DOWN
1175,'d',UP
1201,'d',DOWN
1213,'d',UP
1220,Key.right,UP
1221,Key.right,DOWN
1226,Key.left,DOWN
1226,Key.right,UP
1256,'d',DOWN
1258,Key.left,UP
1258,Key.right,DOWN
1269,Key.right,UP
1270,Key.left,DOWN
1274,'d',UP
1280,Key.right,DOWN
1281,Key.left,UP
1285,Key.left,DOWN
1285,Key.right,UP
1323,Key.left,UP
1325,'d',DOWN
1326,Key.right,DOWN
1351,'d',UP
1357,Key.right,UP
1358,Key.left,DOWN
1374,Key.left,UP
1411,'d',DOWN
1412,Key.right,DOWN
1431,'d',UP
1436,Key.right,UP
1455,Key.right,DOWN
1457,'d',DOWN
1493,'d',UP
1506,Key.right,UP
1524,Key.left,DOWN
1547,Key.left,UP
1559,'s',DOWN
1561,Key.right,DOWN
1567,'d',DOWN
1584,'s',UP
1596,'d',UP
1604,Key.right,UP
1609,'d',DOWN
1613,Key.right,DOWN
1620,Key.right,UP
1628,'d',UP
1634,Key.right,DOWN
1639,'d',DOWN
1667,'d',UP
1692,'s',DOWN
1725,'d',DOWN
1725,'s',UP
1755,'d',UP
1761,'d',DOWN
1764,'d',UP
1772,'d',DOWN
1780,'d',UP
1794,Key.right,UP
1795,Key.left,DOWN
1821,Key.left,UP
1823,Key.right,DOWN
1842,'d',DOWN
1857,'d',UP
1862,Key.right,UP
1865,Key.left,DOWN
1882,Key.left,UP
1896,Key.left,DOWN
1902,'d',DOWN
1921,'d',UP
1923,'s',DOWN
1947,'s',UP
1953,Key.left,UP
1961,Key.right,DOWN
1969,'d',DOWN
1995,'d',UP
2003,'s',DOWN
2022,'d',DOWN
2040,'d',UP
2055,'d',DOWN
2064,Key.right,UP
2069,Key.right,DOWN
2069,'d',UP
2076,Key.left,DOWN
2076,Key.right,UP
2076,'s',UP
2107,Key.left,UP
2107,Key.right,DOWN
2129,'d',DOWN
2133,Key.left,DOWN
2133,Key.right,UP
2138,'d',UP
2148,Key.right,DOWN
2150,Key.left,UP
2192,Key.right,UP
2196,Key.left,DOWN
2205,'d',DOWN
2207,Key.left,UP
2212,Key.right,DOWN
2251,'d',UP
