FRAME,KEY,STATUS
149,Key.enter,DOWN
153,Key.enter,UP
421,Key.right,DOWN
434,Key.right,UP
475,Key.right,DOWN
489,Key.right,UP
512,Key.right,DOWN
569,'s',DOWN
587,'s',UP
595,Key.right,UP
617,Key.right,DOWN
627,Key.right,UP
653,Key.left,DOWN
663,Key.left,UP
692,Key.left,DOWN
724,Key.left,UP
755,Key.right,DOWN
760,Key.right,UP
784,Key.right,DOWN
798,'d',DOWN
799,Key.right,UP
811,'d',UP
873,Key.right,DOWN
880,Key.right,UP
899,'d',DOWN
903,'d',UP
928,Key.right,DOWN
936,Key.right,UP
950,'d',DOWN
963,'d',UP
993,Key.right,DOWN
1001,Key.right,UP
1022,Key.right,DOWN
1033,Key.right,UP
1059,'d',DOWN
1087,'d',UP
1101,Key.right,DOWN
1147,Key.right,UP
1163,Key.right,DOWN
1175,Key.right,UP
1185,'d',DOWN
1209,'d',UP
1217,Key.right,DOWN
1231,Key.right,UP
1231,'d',DOWN
1253,'d',UP
1276,Key.left,DOWN
1292,Key.left,UP
1318,Key.right,DOWN
1327,Key.right,UP
1347,Key.right,DOWN
1365,Key.right,UP
1383,Key.right,DOWN
1406,Key.right,UP
1420,Key.left,DOWN
1451,Key.left,UP
1466,Key.left,DOWN
1474,Key.left,UP
1483,Key.left,DOWN
1490,Key.left,UP
1497,Key.left,DOWN
1524,Key.left,UP
1536,Key.left,DOWN
1548,Key.left,UP
1554,'d',DOWN
1571,'d',UP
1577,Key.right,DOWN
1590,Key.right,UP
1597,'d',DOWN
1618,'d',UP
1645,Key.right,DOWN
1684,Key.right,UP
1697,Key.left,DOWN
1706,Key.left,UP
1739,'d',DOWN
1747,Key.left,DOWN
1779,Key.left,UP
1782,'d',UP
1831,Key.right,DOWN
1866,Key.right,UP
1878,Key.left,DOWN
1883,Key.left,UP
1886,Key.left,DOWN
1893,'d',DOWN
1920,Key.left,UP
1920,'d',UP
1966,Key.left,DOWN
1995,'d',DOWN
2014,'d',UP
2022,Key.left,UP
2027,Key.right,DOWN
2100,Key.right,UP
2108,'d',DOWN
2115,'d',UP
2119,Key.right,DOWN
2153,Key.right,UP
2162,Key.left,DOWN
2191,Key.left,UP
2208,Key.left,DOWN
2216,'d',DOWN
2228,'d',UP
2229,Key.left,UP
2255,Key.left,DOWN
2264,Key.left,UP
2278,Key.left,DOWN
2312,'d',DOWN
2346,'d',UP
2351,Key.left,UP
2372,Key.right,DOWN
2424,'d',DOWN
2436,'d',UP
2441,Key.right,UP
2461,Key.right,DOWN
2476,Key.right,UP
2487,Key.down,DOWN
2494,Key.down,UP
2537,Key.right,DOWN
2548,Key.right,UP
2553,Key.down,DOWN
2589,Key.down,UP
2597,Key.down,DOWN
2619,Key.down,UP
2627,Key.right,DOWN
2649,Key.right,UP
2657,Key.right,DOWN
2722,'d',DOWN
2748,'d',UP
2755,Key.right,UP
2761,Key.down,DOWN
2788,Key.down,UP
2801,Key.right,DOWN
2849,'d',DOWN
2886,'d',UP
2965,'d',DOWN
2997,'d',UP
3012,Key.down,DOWN
3015,Key.right,UP
3020,Key.down,UP
3049,Key.right,DOWN
3150,'d',DOWN
3157,'d',UP
3257,'d',DOWN
3264,'d',UP
3285,Key.right,UP
3297,Key.left,DOWN
3309,Key.left,UP
3322,Key.left,DOWN
3334,Key.left,UP
3347,Key.up,DOWN
3361,Key.up,UP
3371,'d',DOWN
3388,Key.left,DOWN
3418,Key.left,UP
3418,'d',UP
3435,Key.right,DOWN
3474,Key.right,UP
3494,Key.left,DOWN
3522,'d',DOWN
3561,'d',UP
3567,Key.left,UP
3576,Key.right,DOWN
3588,Key.right,UP
3651,Key.left,DOWN
3659,Key.left,UP
3680,Key.right,DOWN
3690,Key.right,UP
3712,Key.right,DOWN
3725,'d',DOWN
3768,'d',UP
3774,Key.right,UP
3787,Key.right,DOWN
3838,'d',DOWN
3849,'d',UP
3862,'s',DOWN
3869,'s',UP
