FRAME,KEY,STATUS
212,Key.enter,DOWN
216,Key.enter,UP
405,Key.right,DOWN
428,Key.right,UP
437,'d',DOWN
457,'d',UP
472,Key.right,DOWN
486,Key.right,UP
492,Key.left,DOWN
504,'s',DOWN
508,'s',UP
526,'s',DOWN
531,'s',UP
535,Key.left,UP
537,Key.right,DOWN
545,'s',DOWN
589,'s',UP
594,Key.right,UP
607,Key.right,DOWN
652,Key.right,UP
671,'d',DOWN
681,'d',UP
706,Key.left,DOWN
715,Key.left,UP
721,Key.left,DOWN
734,Key.left,UP
739,Key.right,DOWN
750,'d',DOWN
793,'d',UP
799,Key.right,UP
804,Key.left,DOWN
828,Key.left,UP
836,Key.left,DOWN
846,Key.left,UP
852,'d',DOWN
880,Key.right,DOWN
880,'d',UP
942,'d',DOWN
965,'d',UP
980,Key.left,DOWN
980,Key.right,UP
980,'d',DOWN
992,'d',UP
1030,'d',DOWN
1042,Key.left,UP
1046,Key.right,DOWN
1054,'d',UP
1129,Key.right,UP
1180,Key.right,DOWN
1183,'d',DOWN
1198,'d',UP
1205,'d',DOWN
1212,'d',UP
1300,'d',DOWN
1342,'d',UP
1347,Key.right,UP
1356,Key.right,DOWN
1394,'d',DOWN
1404,'d',UP
1415,Key.left,DOWN
1415,Key.right,UP
1420,'s',DOWN
1430,'s',UP
1452,Key.left,UP
1467,Key.right,DOWN
1476,'d',DOWN
1516,'d',UP
1527,'d',DOWN
1534,'d',UP
1589,'d',DOWN
1625,'d',UP
1730,'d',DOWN
1774,'d',UP
1812,'s',DOWN
1818,'s',UP
1832,'s',DOWN
1837,'s',UP
1842,'d',DOWN
1844,Key.right,UP
1862,'d',UP
1867,Key.left,DOWN
1888,Key.left,UP
1896,Key.right,DOWN
1910,Key.right,UP
1916,Key.left,DOWN
1926,Key.left,UP
1928,Key.right,DOWN
1939,Key.right,UP
1942,Key.left,DOWN
1956,'d',DOWN
1998,Key.left,UP
1999,'d',UP
2048,Key.right,DOWN
2062,Key.right,UP
2066,Key.left,DOWN
2079,Key.left,UP
2091,Key.right,DOWN
2103,'d',DOWN
2159,'d',UP
2187,Key.right,UP
2187,'s',DOWN
2192,'s',UP
2198,'s',DOWN
2203,'s',UP
2208,'s',DOWN
2213,'s',UP
2226,Key.right,DOWN
2251,'d',DOWN
2313,'d',UP
2324,'s',DOWN
2331,'s',UP
2337,'s',DOWN
2341,'s',UP
2342,Key.right,UP
2347,'s',DOWN
2352,'s',UP
2359,Key.left,DOWN
2359,'s',DOWN
2360,'s',UP
2368,'s',DOWN
2374,'s',UP
2378,Key.left,UP
2393,Key.right,DOWN
2398,'s',DOWN
2403,'s',UP
2407,'s',DOWN
2414,'s',UP
2420,'s',DOWN
2424,'s',UP
2430,'s',DOWN
2436,'s',UP
2443,Key.right,UP
2447,Key.left,DOWN
2516,'d',DOWN
2551,'d',UP
2557,Key.left,UP
2577,'d',DOWN
2594,'d',UP
2603,Key.right,DOWN
2743,'d',DOWN
2744,Key.right,UP
2755,'d',UP
2761,Key.right,DOWN
2775,'d',DOWN
2781,'d',UP
2783,Key.right,UP
2792,Key.left,DOWN
2852,Key.right,DOWN
2856,Key.left,UP
2862,Key.right,UP
2862,'d',DOWN
2868,'d',UP
2873,'d',DOWN
2878,'d',UP
2883,'d',DOWN
2887,'d',UP
2900,'s',DOWN
2906,'s',UP
2910,'s',DOWN
2914,'s',UP
2920,'s',DOWN
2923,'s',UP
2929,'s',DOWN
2934,'s',UP
2939,'s',DOWN
2943,'s',UP
2955,Key.right,DOWN
3036,'d',DOWN
3046,'d',UP
3048,Key.right,UP
3052,Key.right,DOWN
3057,Key.right,UP
3060,Key.left,DOWN
3071,'d',DOWN
3100,'d',UP
3108,'d',DOWN
3120,'d',UP
3128,Key.left,UP
3134,Key.left,DOWN
3156,Key.left,UP
3180,Key.right,DOWN
3185,Key.right,UP
3197,'d',DOWN
3214,'d',UP
3222,Key.right,DOWN
3233,Key.right,UP
3275,Key.right,DOWN
3292,'d',DOWN
3296,Key.left,DOWN
3316,'d',UP
3335,Key.left,UP
3350,Key.right,UP
3354,Key.left,DOWN
3371,Key.left,UP
3379,Key.right,DOWN
3387,'d',DOWN
3396,'d',UP
3402,'d',DOWN
3405,'d',UP
3422,'s',DOWN
3427,'s',UP
3432,'s',DOWN
3436,'s',UP
3441,'s',DOWN
3445,'s',UP
3450,'s',DOWN
3453,Key.right,UP
3455,'s',UP
3459,Key.left,DOWN
3467,Key.left,UP
3478,'s',DOWN
3482,Key.right,DOWN
3486,'s',UP
3491,Key.right,UP
3492,'s',DOWN
3498,'s',UP
3502,Key.right,DOWN
3508,Key.right,UP
3509,'s',DOWN
3513,'s',UP
3524,'s',DOWN
3528,'s',UP
3545,Key.right,DOWN
3569,'d',DOWN
3605,'d',UP
3609,Key.right,UP
3625,Key.right,DOWN
3628,Key.right,UP
3645,Key.left,DOWN
3661,Key.left,UP
3667,'d',DOWN
3668,Key.right,DOWN
3706,'d',UP
3708,Key.right,UP
3714,Key.left,DOWN
3738,Key.left,UP
3740,'d',DOWN
3757,'d',UP
3762,Key.left,DOWN
3771,'d',DOWN
3773,Key.left,UP
3779,'d',UP
3788,Key.right,DOWN
3809,Key.right,UP
3819,'d',DOWN
3823,Key.right,DOWN
3850,'d',UP
3852,Key.right,UP
3857,Key.left,DOWN
3863,Key.left,UP
3868,'d',DOWN
3873,Key.right,DOWN
3874,Key.right,UP
3881,'d',UP
3891,Key.right,DOWN
3942,'d',DOWN
3947,'d',UP
3963,'d',DOWN
3971,'d',UP
3989,'d',DOWN
3998,'d',UP
4086,'d',DOWN
4096,'d',UP
4122,'d',DOWN
4133,'d',UP
4176,Key.right,UP
4189,'d',DOWN
4194,'d',UP
4210,Key.right,DOWN
4228,Key.right,UP
4237,'d',DOWN
4238,Key.right,DOWN
4243,'d',UP
4252,Key.right,UP
4270,Key.right,DOWN
4284,'d',DOWN
4323,'d',UP
4381,'d',DOWN
4407,'d',UP
4477,'d',DOWN
4479,'d',UP
4481,'s',DOWN
4490,'s',UP
4506,'s',DOWN
4518,Key.right,UP
4521,'s',UP
4546,Key.left,DOWN
4614,'d',DOWN
4621,'d',UP
4630,Key.left,UP
4630,Key.right,DOWN
4748,'d',DOWN
4766,'d',UP
4810,'d',DOWN
4818,'d',UP
4825,'d',DOWN
4832,'d',UP
4838,'d',DOWN
4844,'d',UP
4849,'d',DOWN
4854,'d',UP
4860,'d',DOWN
4865,'d',UP
4871,'d',DOWN
4876,'d',UP
4882,'d',DOWN
4888,'d',UP
4895,'d',DOWN
4902,'d',UP
4908,'d',DOWN
4913,'d',UP
4922,'d',DOWN
4930,'d',UP
4937,'d',DOWN
4942,'d',UP
5015,'d',DOWN
5064,'d',UP
5072,Key.right,UP
5828,Key.right,DOWN
5856,Key.right,UP
5868,Key.right,DOWN
5902,Key.right,UP
5945,Key.right,DOWN
5958,'d',DOWN
5964,'d',UP
5970,Key.right,UP
6151,Key.right,DOWN
6159,Key.right,UP
6213,Key.right,DOWN
6225,'d',DOWN
6230,'d',UP
6243,'s',DOWN
6249,'s',UP
6259,'s',DOWN
6265,'s',UP
6270,'s',DOWN
6274,'s',UP
6280,'s',DOWN
6284,'s',UP
6290,'s',DOWN
6294,'s',UP
6300,'s',DOWN
6304,'s',UP
6308,Key.right,UP
6319,Key.left,DOWN
6334,'d',DOWN
6345,'d',UP
6353,'d',DOWN
6355,'d',UP
6374,'d',DOWN
6380,'d',UP
6388,'d',DOWN
6393,'d',UP
6401,'d',DOWN
6407,'d',UP
6415,'d',DOWN
6419,'d',UP
6425,'d',DOWN
6430,'d',UP
6433,Key.left,UP
6433,Key.right,DOWN
6480,'d',DOWN
6488,'d',UP
6495,Key.right,UP
6502,Key.right,DOWN
6510,'d',DOWN
6516,'d',UP
6540,Key.right,UP
6541,Key.left,DOWN
6594,'d',DOWN
6596,Key.right,DOWN
6597,Key.left,UP
6602,'d',UP
6667,'d',DOWN
6686,'d',UP
6706,'d',DOWN
6715,'d',UP
6736,'d',DOWN
6744,'d',UP
6752,'d',DOWN
6759,'d',UP
6767,Key.right,UP
6769,'d',DOWN
6776,Key.right,DOWN
6789,Key.left,DOWN
6793,Key.right,UP
6793,'d',UP
6816,Key.left,UP
6830,'d',DOWN
6840,Key.right,DOWN
6856,'d',UP
6869,'d',DOWN
6879,'d',UP
6907,Key.right,UP
6913,'s',DOWN
6917,'s',UP
6930,'s',DOWN
6936,'s',UP
6966,Key.right,DOWN
6984,'d',DOWN
7014,'d',UP
7020,'d',DOWN
7045,'d',UP
7061,'d',DOWN
7070,'d',UP
7129,Key.right,UP
7133,Key.down,DOWN
7146,Key.down,UP
7152,Key.left,DOWN
7212,'d',DOWN
7223,'d',UP
7228,Key.left,UP
7231,Key.right,DOWN
7242,'d',DOWN
7248,'d',UP
7289,Key.right,UP
7295,'s',DOWN
7300,'s',UP
7305,'s',DOWN
7309,'s',UP
7314,'s',DOWN
7318,'s',UP
7324,'s',DOWN
7328,'s',UP
7332,'s',DOWN
7337,'s',UP
7350,Key.right,DOWN
7365,'d',DOWN
7386,'d',UP
7418,'d',DOWN
7426,'d',UP
7434,'d',DOWN
7439,'d',UP
7446,'d',DOWN
7451,'d',UP
7463,'d',DOWN
7469,'d',UP
7480,'d',DOWN
7485,Key.right,UP
7488,'d',UP
7499,Key.left,DOWN
