FRAME,KEY,STATUS
35,Key.alt,DOWN
40,Key.tab,DOWN
44,Key.tab,UP
46,Key.alt,UP
98,Key.enter,DOWN
102,Key.enter,UP
258,Key.right,DOWN
301,'d',DOWN
329,'d',UP
342,'s',DOWN
380,Key.right,UP
411,Key.right,DOWN
420,Key.right,UP
429,Key.right,DOWN
457,'d',DOWN
461,'d',UP
478,Key.right,UP
481,'s',UP
499,Key.right,DOWN
514,'d',DOWN
528,'d',UP
539,Key.right,UP
548,Key.right,DOWN
553,Key.right,UP
556,Key.left,DOWN
558,'d',DOWN
576,'d',UP
580,Key.left,UP
591,'d',DOWN
594,Key.left,DOWN
599,Key.left,UP
609,'d',UP
621,Key.right,DOWN
652,Key.right,UP
666,Key.right,DOWN
673,Key.right,UP
677,'d',DOWN
689,'d',UP
705,Key.left,DOWN
733,'s',DOWN
748,'s',UP
751,Key.left,UP
754,Key.right,DOWN
804,'s',DOWN
828,'d',DOWN
838,'d',UP
889,'d',DOWN
902,'d',UP
923,'d',DOWN
953,'d',UP
977,'d',DOWN
1036,'d',UP
1048,'d',DOWN
1065,'d',UP
1070,'d',DOWN
1095,'d',UP
1102,'d',DOWN
1108,'d',UP
1156,Key.right,UP
1156,'d',DOWN
1160,'s',UP
1165,'d',UP
1167,Key.left,DOWN
1189,Key.left,UP
1228,Key.left,DOWN
1232,'d',DOWN
1264,'d',UP
1266,Key.left,UP
1269,Key.right,DOWN
1281,'s',DOWN
1303,'d',DOWN
1318,'d',UP
1360,'d',DOWN
1365,Key.right,UP
1366,Key.left,DOWN
1368,'d',UP
1369,'s',UP
1400,Key.left,UP
1432,'d',DOWN
1442,'d',UP
1451,Key.right,DOWN
1463,Key.right,UP
1463,'d',DOWN
1472,'d',UP
1487,Key.left,DOWN
1489,'d',DOWN
1514,'d',UP
1516,Key.left,UP
1532,Key.right,DOWN
1542,'s',DOWN
1646,'d',DOWN
1662,'d',UP
1680,'s',UP
1686,'s',DOWN
1688,Key.right,UP
1690,'s',UP
1695,'d',DOWN
1700,'d',UP
1705,'d',DOWN
1709,'d',UP
1716,'d',DOWN
1720,'d',UP
1728,'s',DOWN
1733,'s',UP
1738,'s',DOWN
1742,Key.right,DOWN
1755,'s',UP
1759,'s',DOWN
1765,'s',UP
1769,'s',DOWN
1774,'s',UP
1778,'s',DOWN
1783,'s',UP
1787,'s',DOWN
1791,'s',UP
1795,'s',DOWN
1799,'s',UP
1803,'s',DOWN
1807,'s',UP
1812,'s',DOWN
1817,'s',UP
1822,'s',DOWN
1826,'s',UP
1832,'s',DOWN
1843,'d',DOWN
1875,'d',UP
1881,'d',DOWN
1895,'d',UP
1900,'s',UP
1902,Key.right,UP
1917,'s',DOWN
1922,'s',UP
1927,Key.right,DOWN
1927,'s',DOWN
1934,'s',UP
1949,'d',DOWN
1959,'d',UP
1999,'d',DOWN
2012,'d',UP
2040,'d',DOWN
2046,'d',UP
2054,Key.right,UP
2058,'s',DOWN
2065,'s',UP
2071,'s',DOWN
2075,'s',UP
2080,'s',DOWN
2084,'s',UP
2089,'s',DOWN
2090,Key.right,DOWN
2094,'s',UP
2129,'s',DOWN
2135,'s',UP
2140,'s',DOWN
2145,'s',UP
2150,'s',DOWN
2154,'s',UP
2159,'s',DOWN
2163,'s',UP
2168,'s',DOWN
2173,'s',UP
2178,'s',DOWN
2206,'d',DOWN
2223,'d',UP
2241,'d',DOWN
2303,'d',UP
2312,'d',DOWN
2349,'d',UP
2358,'d',DOWN
2372,'d',UP
2412,'d',DOWN
2419,'d',UP
2438,'d',DOWN
