FRAME,KEY,STATUS
107,Key.enter,DOWN
110,Key.enter,UP
242,Key.right,DOWN
274,'s',DOWN
374,'d',DOWN
387,Key.right,UP
387,'d',UP
390,Key.left,DOWN
390,'s',UP
405,'d',DOWN
416,'d',UP
428,Key.left,UP
436,Key.right,DOWN
446,Key.left,DOWN
448,Key.right,UP
479,Key.left,UP
499,'d',DOWN
501,Key.right,DOWN
537,'d',UP
539,Key.right,UP
551,Key.right,DOWN
587,'d',DOWN
592,Key.left,DOWN
594,Key.right,UP
610,'d',UP
647,Key.left,UP
650,Key.right,DOWN
689,Key.right,UP
699,Key.right,DOWN
712,'d',DOWN
731,'d',UP
735,Key.right,UP
742,Key.left,DOWN
749,Key.left,UP
757,Key.right,DOWN
762,'d',DOWN
765,Key.right,UP
771,'d',UP
856,Key.right,DOWN
870,'d',DOWN
893,'d',UP
893,'s',DOWN
943,'d',DOWN
984,Key.right,UP
984,'d',UP
984,'s',UP
987,Key.left,DOWN
1039,Key.left,UP
1064,Key.right,DOWN
1073,'d',DOWN
1084,'d',UP
1091,Key.right,UP
1114,Key.right,DOWN
1114,'d',DOWN
1145,'d',UP
1145,'s',DOWN
1201,'d',DOWN
1232,'d',UP
1234,Key.right,UP
1234,'s',UP
1266,Key.right,DOWN
1272,Key.right,UP
1272,'d',DOWN
1275,Key.left,DOWN
1290,'d',UP
1330,'d',DOWN
1340,Key.left,UP
1340,Key.right,DOWN
1379,'d',UP
1399,Key.right,UP
1422,Key.left,DOWN
1440,Key.left,UP
1464,'d',DOWN
1499,'d',UP
1501,Key.right,DOWN
1520,Key.right,UP
1547,'d',DOWN
1593,'d',UP
1603,Key.right,DOWN
1625,'s',DOWN
1641,'d',DOWN
1659,'d',UP
1696,'d',DOWN
1699,Key.left,DOWN
1699,Key.right,UP
1707,'s',UP
1708,'d',UP
1736,Key.left,UP
1750,Key.right,DOWN
1760,Key.right,UP
1763,'d',DOWN
1785,'d',UP
1797,Key.right,DOWN
1827,Key.right,UP
1850,Key.left,DOWN
1858,Key.left,UP
1884,'d',DOWN
1913,'d',UP
1936,Key.right,DOWN
1976,'s',DOWN
2016,'d',DOWN
2040,'d',UP
2050,Key.right,UP
2054,'s',UP
2061,Key.left,DOWN
2097,Key.left,UP
2120,'d',DOWN
2121,Key.right,DOWN
2144,'d',UP
2146,Key.right,UP
2156,Key.left,DOWN
2174,Key.left,UP
2181,Key.right,DOWN
2195,Key.right,UP
2202,'d',DOWN
2216,'d',UP
2224,Key.right,DOWN
2287,Key.right,UP
2299,'d',DOWN
2308,Key.left,DOWN
2311,'d',UP
2321,Key.left,UP
2325,Key.left,DOWN
2338,Key.left,UP
2350,Key.right,DOWN
2356,'d',DOWN
2372,'d',UP
2382,Key.right,UP
2427,Key.right,DOWN
2441,Key.right,UP
2452,Key.right,DOWN
2503,Key.right,UP
2525,Key.left,DOWN
2537,Key.left,UP
2543,'d',DOWN
2548,Key.right,DOWN
2570,Key.right,UP
2570,'d',UP
2582,Key.left,DOWN
2584,Key.left,UP
2588,'d',DOWN
2598,'d',UP
2609,Key.right,DOWN
2620,Key.right,UP
2633,Key.right,DOWN
2646,'d',DOWN
2650,Key.left,DOWN
2653,Key.right,UP
2672,'d',UP
2674,Key.left,UP
2688,Key.right,DOWN
2699,'d',DOWN
2706,Key.left,DOWN
2710,Key.right,UP
2747,'d',UP
2750,Key.left,UP
2776,Key.right,DOWN
2780,'d',DOWN
2782,Key.left,DOWN
2786,Key.right,UP
2818,'d',UP
2820,Key.left,UP
2845,Key.right,DOWN
2940,'s',DOWN
2947,'s',UP
2950,'s',DOWN
2955,'s',UP
2960,'d',DOWN
2980,'d',UP
2998,'s',DOWN
3030,'s',UP
3034,'s',DOWN
3038,'s',UP
3043,'s',DOWN
3046,'s',UP
3050,'s',DOWN
3055,'s',UP
3059,'s',DOWN
3064,'s',UP
3067,'s',DOWN
3087,'d',DOWN
3144,'d',UP
3144,'s',UP
3146,Key.right,UP
3153,Key.right,DOWN
3153,'d',DOWN
3177,'s',DOWN
3181,'d',UP
3237,'d',DOWN
3249,Key.right,UP
3249,'d',UP
3249,'s',UP
3281,Key.right,DOWN
3284,'d',DOWN
3290,'d',UP
3291,Key.right,UP
3312,Key.right,DOWN
3318,'s',DOWN
3323,'d',DOWN
3325,'d',UP
3329,'d',DOWN
3361,Key.right,UP
3361,'d',UP
3361,'s',UP
3672,'s',DOWN
3679,'d',DOWN
3679,'s',UP
3684,'d',UP
3686,'s',DOWN
3692,'d',DOWN
3693,'s',UP
3697,'d',UP
3820,Key.right,DOWN
3822,'s',DOWN
3850,'d',DOWN
3870,'d',UP
3871,Key.right,UP
3889,'s',UP
3904,Key.right,DOWN
3906,'s',DOWN
3914,'d',DOWN
3923,'d',UP
3944,Key.right,UP
3945,'s',UP
3950,Key.left,DOWN
3955,'d',DOWN
3966,'d',UP
3977,Key.left,UP
3982,Key.right,DOWN
