FRAME,KEY,STATUS
62,Key.enter,DOWN
65,Key.enter,UP
224,Key.right,DOWN
228,Key.right,UP
279,Key.right,DOWN
301,'d',DOWN
305,'d',UP
434,Key.right,UP
435,'d',DOWN
467,Key.left,DOWN
467,'d',UP
475,Key.left,UP
475,'d',DOWN
477,Key.left,DOWN
479,'d',UP
483,Key.left,UP
485,'s',DOWN
491,'s',UP
673,Key.right,DOWN
677,Key.right,UP
685,Key.right,DOWN
689,Key.right,UP
695,Key.right,DOWN
699,Key.right,UP
707,Key.right,DOWN
710,Key.right,UP
718,Key.right,DOWN
722,Key.right,UP
734,'d',DOWN
737,'d',UP
752,Key.right,DOWN
755,Key.right,UP
763,Key.right,DOWN
766,Key.right,UP
773,Key.right,DOWN
776,Key.right,UP
783,Key.right,DOWN
786,Key.right,UP
794,Key.right,DOWN
798,Key.right,UP
846,Key.right,DOWN
850,Key.right,UP
863,Key.right,DOWN
870,Key.right,UP
903,Key.right,DOWN
916,'s',DOWN
948,'s',UP
960,Key.right,UP
985,Key.right,DOWN
1025,Key.right,UP
1056,'d',DOWN
1066,'d',UP
1102,Key.right,DOWN
1104,'d',DOWN
1130,'d',UP
1131,Key.right,UP
1160,Key.left,DOWN
1169,Key.left,UP
1183,Key.right,DOWN
1186,'d',DOWN
1199,'d',UP
1204,Key.right,UP
1228,'d',DOWN
1230,Key.right,DOWN
1239,'d',UP
1252,Key.right,UP
1267,Key.right,DOWN
1276,'d',DOWN
1282,'d',UP
1304,Key.right,UP
1314,Key.left,DOWN
1335,Key.left,UP
1341,'d',DOWN
1362,'d',UP
1374,Key.right,DOWN
1392,Key.right,UP
1418,Key.right,DOWN
1460,Key.right,UP
1525,Key.left,DOWN
1562,Key.left,UP
1571,Key.left,DOWN
1601,Key.left,UP
1608,Key.left,DOWN
1635,Key.left,UP
1641,'d',DOWN
1649,'d',UP
1662,Key.left,DOWN
1679,Key.left,UP
1682,'d',DOWN
1690,'d',UP
1710,Key.left,DOWN
1722,Key.left,UP
1730,Key.left,DOWN
1749,Key.left,UP
1753,'d',DOWN
1759,'d',UP
1778,Key.right,DOWN
1793,'d',DOWN
1828,'d',UP
1831,Key.right,UP
1840,Key.right,DOWN
1853,Key.right,UP
1853,'d',DOWN
