FRAME,KEY,STATUS
20,Key.alt,DOWN
23,Key.tab,DOWN
30,Key.alt,UP
30,Key.tab,UP
186,Key.right,DOWN
191,'s',DOWN
302,Key.space,DOWN
311,Key.space,UP
330,Key.right,UP
351,'s',UP
353,Key.right,DOWN
358,Key.right,UP
361,Key.space,DOWN
367,Key.right,DOWN
380,Key.space,UP
387,Key.right,UP
390,Key.space,DOWN
391,Key.right,DOWN
405,Key.right,UP
411,Key.right,DOWN
414,Key.space,UP
442,Key.right,UP
451,Key.space,DOWN
453,Key.left,DOWN
486,Key.left,UP
486,Key.space,UP
510,Key.left,DOWN
512,Key.space,DOWN
559,Key.left,UP
559,Key.space,UP
576,Key.left,DOWN
603,'s',DOWN
641,Key.left,UP
641,'s',UP
648,Key.right,DOWN
649,'s',DOWN
698,Key.space,DOWN
706,Key.space,UP
759,Key.space,DOWN
783,Key.space,UP
799,Key.space,DOWN
834,Key.space,UP
857,Key.space,DOWN
875,Key.space,UP
896,Key.space,DOWN
933,Key.space,UP
973,Key.space,DOWN
982,Key.left,DOWN
984,Key.space,UP
985,Key.right,UP
993,'s',UP
1021,Key.space,DOWN
1073,Key.left,UP
1073,Key.space,UP
1075,Key.right,DOWN
1088,Key.space,DOWN
1111,Key.space,UP
1113,Key.right,UP
1114,Key.left,DOWN
1169,Key.left,UP
1169,Key.right,DOWN
1175,'s',DOWN
1209,Key.space,DOWN
1227,Key.space,UP
1326,Key.space,DOWN
1340,Key.space,UP
1347,'s',UP
1351,Key.right,UP
1354,Key.left,DOWN
1400,Key.space,DOWN
1416,Key.space,UP
1417,Key.right,DOWN
1418,Key.left,UP
1473,Key.right,UP
1509,Key.right,DOWN
1516,Key.right,UP
1531,Key.right,DOWN
1578,'s',DOWN
1647,Key.space,DOWN
1664,Key.space,UP
1705,Key.space,DOWN
1714,Key.space,UP
1766,Key.space,DOWN
1772,Key.space,UP
1793,'s',UP
1806,Key.right,UP
1831,Key.left,DOWN
1843,Key.space,DOWN
1882,Key.left,UP
1882,Key.space,UP
1897,Key.right,DOWN
1910,Key.space,DOWN
1954,Key.space,UP
1957,Key.right,UP
1969,Key.left,DOWN
1980,Key.left,UP
1997,Key.right,DOWN
1999,Key.space,DOWN
2028,Key.right,UP
2029,Key.space,UP
2039,Key.right,DOWN
2039,Key.space,DOWN
2057,Key.space,UP
2069,Key.right,UP
2106,Key.left,DOWN
2122,Key.left,UP
2130,Key.space,DOWN
2139,Key.space,UP
2159,Key.right,DOWN
2178,Key.space,DOWN
2181,Key.left,DOWN
2184,Key.right,UP
2231,Key.left,UP
2231,Key.space,UP
2268,Key.left,DOWN
2272,Key.space,DOWN
2297,Key.left,UP
2297,Key.space,UP
2300,Key.right,DOWN
2324,Key.right,UP
2336,Key.right,DOWN
2340,Key.space,DOWN
2371,Key.space,UP
2373,Key.right,UP
2383,Key.left,DOWN
2403,Key.left,UP
2428,Key.left,DOWN
2430,Key.space,DOWN
2456,Key.space,UP
2460,Key.left,UP
2489,Key.right,DOWN
2495,Key.left,DOWN
2495,Key.space,DOWN
2498,Key.right,UP
2532,Key.space,UP
2533,Key.left,UP
2594,Key.right,DOWN
2609,'s',DOWN
2629,'s',UP
2639,'s',DOWN
2645,'s',UP
2652,'s',DOWN
2655,'s',UP
2661,'s',DOWN
2666,'s',UP
2671,'s',DOWN
2675,'s',UP
2681,'s',DOWN
2684,'s',UP
2689,'s',DOWN
2696,'s',UP
2697,'s',DOWN
2706,'s',UP
2710,'s',DOWN
2713,'s',UP
2716,'s',DOWN
2720,'s',UP
2725,'s',DOWN
2729,'s',UP
2735,Key.right,UP
2735,'s',DOWN
2738,'s',UP
2746,'s',DOWN
2750,'s',UP
2755,'s',DOWN
2761,Key.right,DOWN
2761,'s',UP
2772,'s',DOWN
2795,Key.space,DOWN
2818,Key.space,UP
2837,Key.space,DOWN
2859,Key.space,UP
2906,Key.space,DOWN
2930,Key.right,UP
2932,Key.space,UP
2935,'s',UP
2955,Key.space,DOWN
2958,Key.right,DOWN
2977,Key.space,UP
2996,'s',DOWN
3003,Key.space,DOWN
3020,Key.space,UP
3040,Key.right,UP
3041,Key.right,DOWN
3067,Key.space,DOWN
3072,Key.space,UP
3100,'s',UP
3107,Key.right,UP
3107,'s',DOWN
3110,'s',UP
3115,'s',DOWN
3121,'s',UP
3125,'s',DOWN
3129,'s',UP
3134,'s',DOWN
3139,'s',UP
3148,Key.right,DOWN
3164,Key.space,DOWN
3185,Key.space,UP
3186,'s',DOWN
3211,Key.space,DOWN
3219,Key.space,UP
3237,Key.space,DOWN
3272,Key.space,UP
3282,Key.space,DOWN
3295,Key.space,UP
3343,Key.space,DOWN
3348,Key.space,UP
3349,Key.right,UP
3360,Key.right,DOWN
3383,Key.space,DOWN
3383,'a',DOWN
3391,'a',UP
3451,Key.space,UP
3458,Key.right,UP
3458,'s',UP
3605,'s',DOWN
3623,'s',UP
3630,'s',DOWN
3637,'s',UP
3648,'s',DOWN
3656,'s',UP
3804,Key.space,DOWN
3814,Key.space,UP
3906,'s',DOWN
3915,'s',UP
3917,'s',DOWN
3919,'s',UP
3974,Key.right,DOWN
3981,Key.right,UP
4090,Key.right,DOWN
4098,Key.right,UP
4109,Key.right,DOWN
4115,Key.right,UP
4123,Key.right,DOWN
4131,Key.right,UP
4133,Key.right,DOWN
4138,Key.right,UP
4149,Key.right,DOWN
4157,Key.right,UP
4325,Key.down,DOWN
4334,Key.down,UP
4344,Key.down,DOWN
4351,Key.down,UP
4362,Key.up,DOWN
4373,Key.up,UP
4393,Key.down,DOWN
4400,Key.down,UP
4697,'s',DOWN
4701,'s',UP
4708,'s',DOWN
4712,'s',UP
4717,'s',DOWN
4721,'s',UP
4727,'s',DOWN
4734,'s',UP
4755,Key.right,DOWN
4780,'s',DOWN
4825,Key.space,DOWN
4831,Key.space,UP
4850,Key.space,DOWN
4857,Key.space,UP
4875,Key.space,DOWN
4892,Key.space,UP
4900,Key.space,DOWN
4907,Key.space,UP
4923,Key.space,DOWN
4955,Key.space,UP
5048,Key.space,DOWN
5068,Key.space,UP
5114,'s',UP
5124,'s',DOWN
5137,'s',UP
5142,'s',DOWN
5148,'s',UP
5152,'s',DOWN
5156,Key.right,UP
5156,'s',UP
5161,'s',DOWN
5167,'s',UP
5171,'s',DOWN
5176,Key.right,DOWN
5178,'s',UP
5189,'s',DOWN
5194,'s',UP
5199,'s',DOWN
5204,'s',UP
5208,'s',DOWN
5213,'s',UP
5219,'s',DOWN
5223,'s',UP
5228,'s',DOWN
5233,'s',UP
5237,'s',DOWN
5242,'s',UP
5248,'s',DOWN
5254,'s',UP
5262,Key.space,DOWN
5280,Key.space,UP
5285,Key.space,DOWN
5309,Key.space,UP
5317,Key.space,DOWN
5343,Key.space,UP
5357,Key.space,DOWN
5398,Key.right,UP
5401,Key.space,UP
5438,Key.right,DOWN
5468,Key.right,UP
5479,Key.right,DOWN
5484,Key.right,UP
5492,Key.left,DOWN
5502,'s',DOWN
5504,Key.left,UP
5507,'s',UP
5528,Key.right,DOWN
5542,'s',DOWN
5549,'s',UP
5555,'s',DOWN
5560,'s',UP
5562,Key.right,UP
5566,'s',DOWN
5571,'s',UP
5576,'s',DOWN
5583,'s',UP
5588,'s',DOWN
5593,'s',UP
5597,Key.right,DOWN
5600,'s',DOWN
5604,'s',UP
5610,'s',DOWN
5615,'s',UP
5622,'s',DOWN
5623,Key.right,UP
5625,Key.right,DOWN
5627,'s',UP
5631,Key.right,UP
5632,'s',DOWN
5637,'s',UP
5661,'s',DOWN
5666,'s',UP
5673,'s',DOWN
5678,'s',UP
5684,'s',DOWN
5687,'s',UP
5693,'s',DOWN
5697,'s',UP
5703,'s',DOWN
5707,'s',UP
5713,'s',DOWN
5717,'s',UP
5723,'s',DOWN
5727,'s',UP
5732,'s',DOWN
5737,'s',UP
5750,Key.space,DOWN
5770,Key.space,UP
5777,Key.space,DOWN
5802,Key.space,UP
5810,Key.space,DOWN
5841,Key.space,UP
5846,Key.right,DOWN
5869,Key.right,UP
5911,Key.right,DOWN
5922,Key.right,UP
5933,'s',DOWN
5938,'s',UP
5943,'s',DOWN
5948,'s',UP
5954,'s',DOWN
5958,'s',UP
5969,Key.right,DOWN
5976,Key.right,UP
5988,Key.space,DOWN
6003,Key.space,UP
6011,Key.space,DOWN
6032,Key.space,UP
6034,'s',DOWN
6041,'s',UP
6048,Key.left,DOWN
6082,Key.left,UP
6098,Key.right,DOWN
6106,Key.space,DOWN
6136,Key.space,UP
6139,Key.right,UP
6149,Key.space,DOWN
6152,Key.right,DOWN
6156,Key.space,UP
6159,Key.right,UP
6194,Key.space,DOWN
6208,Key.space,UP
6214,Key.space,DOWN
6240,Key.space,UP
6250,Key.right,DOWN
6267,Key.space,DOWN
6296,Key.space,UP
6298,Key.right,UP
6327,Key.left,DOWN
6383,Key.left,UP
6416,Key.right,DOWN
6422,Key.space,DOWN
6459,Key.space,UP
6460,Key.right,UP
6478,Key.right,DOWN
6479,Key.space,DOWN
6487,Key.right,UP
6487,Key.space,UP
6500,Key.right,DOWN
6508,Key.right,UP
6529,Key.right,DOWN
6545,Key.space,DOWN
6588,Key.right,UP
6588,Key.space,UP
6604,Key.left,DOWN
6654,Key.left,UP
6683,Key.right,DOWN
6689,Key.space,DOWN
6725,Key.right,UP
6725,Key.space,UP
6741,Key.right,DOWN
6743,Key.space,DOWN
6749,Key.right,UP
6749,Key.space,UP
6776,Key.right,DOWN
6793,Key.space,DOWN
6831,Key.space,UP
6832,Key.right,UP
6842,Key.right,DOWN
6853,Key.right,UP
6886,Key.right,DOWN
6923,Key.right,UP
6945,Key.right,DOWN
6952,Key.space,DOWN
6991,Key.space,UP
7008,Key.right,UP
7047,Key.left,DOWN
7056,'s',DOWN
7088,Key.space,DOWN
7113,Key.left,UP
7113,Key.space,UP
7113,'s',UP
7128,Key.right,DOWN
7149,Key.right,UP
7171,Key.space,DOWN
7173,Key.right,DOWN
7211,Key.right,UP
7214,Key.space,UP
7218,Key.right,DOWN
7229,Key.right,UP
7242,Key.left,DOWN
7253,'s',DOWN
7286,Key.space,DOWN
7321,Key.space,UP
7325,Key.left,UP
7327,'s',UP
7334,Key.space,DOWN
7346,Key.space,UP
7367,Key.right,DOWN
7369,Key.space,DOWN
7396,Key.space,UP
7398,'s',DOWN
7796,Key.space,DOWN
7837,Key.space,UP
7879,Key.space,DOWN
7906,Key.space,UP
7930,Key.space,DOWN
7952,Key.space,UP
8122,Key.left,DOWN
8122,Key.right,UP
8125,'s',UP
8165,Key.space,DOWN
8188,Key.space,UP
8194,Key.space,DOWN
8214,Key.space,UP
8234,Key.space,DOWN
8255,Key.space,UP
8283,Key.space,DOWN
8296,Key.space,UP
8316,Key.left,UP
8324,Key.down,DOWN
8351,Key.down,UP
8553,Key.right,DOWN
8557,Key.right,UP
8644,Key.right,DOWN
8645,'s',DOWN
8708,'s',UP
8714,'s',DOWN
8720,'s',UP
8725,'s',DOWN
8729,'s',UP
8734,'s',DOWN
8737,'s',UP
8742,'s',DOWN
8749,'s',UP
8755,'s',DOWN
8764,'s',UP
8776,Key.space,DOWN
8795,Key.space,UP
8801,Key.right,UP
8805,Key.right,DOWN
8823,Key.space,DOWN
8862,Key.space,UP
8867,Key.right,UP
8881,Key.right,DOWN
8883,Key.right,UP
8896,'s',DOWN
8901,'s',UP
8907,'s',DOWN
8912,'s',UP
9011,'s',DOWN
9017,'s',UP
9040,Key.right,DOWN
9060,'s',DOWN
9103,Key.space,DOWN
9115,Key.space,UP
9155,Key.space,DOWN
9170,Key.space,UP
9314,Key.space,DOWN
9321,Key.space,UP
9334,Key.space,DOWN
9342,Key.space,UP
9399,Key.space,DOWN
9414,Key.space,UP
9477,Key.space,DOWN
9486,Key.space,UP
9504,Key.space,DOWN
9510,Key.right,UP
9512,Key.space,UP
9512,'s',UP
9514,Key.left,DOWN
9585,Key.space,DOWN
9594,Key.space,UP
9607,Key.space,DOWN
9623,Key.space,UP
9626,Key.left,UP
9631,Key.right,DOWN
9664,Key.space,DOWN
9676,Key.space,UP
9681,Key.right,UP
9698,'s',DOWN
9704,'s',UP
9711,'s',DOWN
9718,Key.left,DOWN
9718,'s',UP
9736,Key.space,DOWN
9738,Key.left,UP
9748,Key.space,UP
9754,Key.left,DOWN
9763,Key.left,UP
9769,Key.right,DOWN
9783,Key.space,DOWN
9797,Key.space,UP
9802,Key.right,UP
9821,Key.left,DOWN
9849,Key.space,DOWN
9856,Key.right,DOWN
9858,Key.left,UP
9858,Key.space,UP
9879,'s',DOWN
