FRAME,KEY,STATUS
61,Key.enter,DOWN
64,Key.enter,UP
250,Key.right,DOWN
268,Key.right,UP
275,Key.space,DOWN
286,Key.space,UP
293,'d',DOWN
312,'d',UP
318,'d',DOWN
327,'d',UP
339,'d',DOWN
344,'d',UP
355,'d',DOWN
361,'d',UP
377,'d',DOWN
384,'d',UP
402,'d',DOWN
410,'d',UP
525,'d',DOWN
532,'d',UP
655,'d',DOWN
660,'d',UP
705,'d',DOWN
709,'d',UP
764,Key.right,DOWN
780,Key.right,UP
804,'d',DOWN
808,'d',UP
867,Key.space,DOWN
871,Key.space,UP
946,Key.enter,DOWN
948,Key.enter,UP
1132,'d',DOWN
1147,'d',UP
1162,Key.right,DOWN
1204,'d',DOWN
1225,Key.right,UP
1231,'d',UP
1239,'s',DOWN
1271,'s',UP
1282,'d',DOWN
1300,'d',UP
1304,'d',DOWN
1320,'d',UP
1324,'d',DOWN
1335,'d',UP
1341,'d',DOWN
1352,'d',UP
1377,'d',DOWN
1392,'d',UP
1492,'d',DOWN
1522,'d',UP
1561,Key.right,DOWN
1609,Key.right,UP
1609,'d',DOWN
1637,'d',UP
1668,'d',DOWN
1688,'d',UP
1715,'d',DOWN
1732,'d',UP
1756,Key.right,DOWN
1770,'d',DOWN
1779,Key.right,UP
1797,'d',UP
1810,Key.right,DOWN
1825,Key.right,UP
1827,'d',DOWN
1857,'d',UP
1890,Key.right,DOWN
1891,'d',DOWN
1897,Key.right,UP
1921,'d',UP
1925,'d',DOWN
1982,Key.right,DOWN
2011,Key.right,UP
2014,'d',UP
2019,'d',DOWN
2118,'d',UP
2123,'d',DOWN
2139,Key.right,DOWN
2143,'d',UP
2211,'d',DOWN
2238,Key.right,UP
2246,'d',UP
2270,'s',DOWN
2278,'s',UP
2279,Key.right,DOWN
2285,Key.right,UP
2285,'d',DOWN
2307,'d',UP
2724,Key.right,DOWN
2751,'d',DOWN
2794,Key.right,UP
2851,Key.right,DOWN
2857,'d',UP
2911,Key.right,UP
2915,'a',DOWN
2947,'a',UP
2951,'a',DOWN
2954,Key.left,DOWN
2959,'a',UP
