51,Key.cmd,DOWN
87,Key.left,DOWN
93,Key.left,UP
106,Key.cmd,UP
135,Key.alt,DOWN
139,Key.space,DOWN
143,Key.alt,UP
145,Key.space,UP
159,'r',DOWN
165,'e',DOWN
168,'r',UP
171,'e',UP
175,'t',DOWN
180,'r',DOWN
183,'t',UP
184,'o',DOWN
185,'r',UP
188,'o',UP
202,Key.enter,DOWN
207,Key.enter,UP
888,Key.enter,DOWN
892,Key.enter,UP
1076,Key.right,DOWN
1111,'x',DOWN
1119,'x',UP
1231,Key.right,UP
1232,'x',DOWN
1242,'x',UP
1261,'x',DOWN
1270,'x',UP
1300,Key.right,DOWN
1321,'x',DOWN
1340,'x',UP
1344,Key.right,UP
1356,Key.left,DOWN
1357,'x',DOWN
1373,'x',UP
1412,'x',DOWN
1424,'x',UP
1426,Key.left,UP
1429,Key.right,DOWN
1468,'x',DOWN
1480,'x',UP
1488,Key.right,UP
1500,Key.right,DOWN
1511,Key.right,UP
1527,Key.left,DOWN
1542,Key.left,UP
1550,Key.right,DOWN
1552,'x',DOWN
1563,'x',UP
1573,Key.right,UP
1620,Key.right,DOWN
1640,'x',DOWN
1665,'x',UP
1746,'x',DOWN
1770,'x',UP
1804,Key.right,UP
1836,'x',DOWN
1848,'x',UP
1851,Key.left,DOWN
1867,Key.left,UP
1869,Key.left,DOWN
1885,Key.left,UP
1894,Key.left,DOWN
1903,Key.left,UP
1914,Key.right,DOWN
1925,'x',DOWN
1958,'x',UP
1969,'x',DOWN
1983,Key.right,UP
1983,'x',UP
2021,Key.left,DOWN
2038,Key.left,UP
2047,Key.left,DOWN
2057,'x',DOWN
2072,'x',UP
2082,Key.left,UP
2087,Key.right,DOWN
2106,'x',DOWN
2108,Key.right,UP
2115,'x',UP
2130,Key.left,DOWN
2139,Key.left,UP
2154,Key.left,DOWN
2161,Key.left,UP
2190,Key.left,DOWN
2192,'x',DOWN
2208,Key.left,UP
2208,'x',UP
2232,Key.right,DOWN
2315,'x',DOWN
2343,'x',UP
2461,'x',DOWN
2486,'x',UP
2525,Key.right,UP
2534,Key.right,DOWN
2554,Key.right,UP
2557,'x',DOWN
2570,'x',UP
2598,Key.right,DOWN
2615,'x',DOWN
2616,Key.right,UP
2623,'x',UP
2663,Key.right,DOWN
2688,Key.right,UP
2704,'x',DOWN
